,index,full_sentence_,cloze_probability_,dataset_,CoRT_mean,CoRT_std
335,1396,The angry chicken gave the farmer a sharp peck,0.83,peele,4.5,0.5773502691896257
336,1426,The baby's ice cream was snatched up by the dog,0.47,peele,4.5,0.5773502691896257
337,1430,The baseball hit the batter's chest and broke his ribs,0.7,peele,4.5,0.5773502691896257
338,1443,The best way to travel at sea is to sail,0.43,peele,1.5,0.5773502691896257
339,1444,The big friendly dog wetted her face with his tongue,0.7,peele,4.5,0.5773502691896257
340,1509,The cardinals wondered which of them would become the pope,0.5,peele,1.5,0.5773502691896257
341,1663,The enemies stormed the castle despite the protective moat,0.39,peele,4.5,0.5773502691896257
342,1685,The fans cheered when the baseball player went to bat,0.5,peele,4.333333333333333,0.5773502691896257
343,1796,The host made the whole room dance an energetic jig,0.37,peele,4.5,0.5773502691896257
344,1867,The lightning struck and the whole building shook,0.7,peele,4.5,0.5773502691896257
345,1891,The man added tonic water to his glass of gin,0.55,peele,4.5,0.5773502691896257
346,1910,The manager thought Cheryl was the right person to hire,0.42,peele,1.5,0.5773502691896257
347,1912,The marathon runners struggled through the last mile,0.62,peele,4.5,0.5773502691896257
348,1930,The monument was the largest constructed to date,0.73,peele,1.5,0.5773502691896257
349,2014,The postman walked up and handed the man his mail,0.72,peele,4.5,0.5773502691896257
350,2097,The sitcom repeatedly used the same running joke,0.43,peele,1.5,0.5773502691896257
351,2122,The stable was home to Rick's favorite horse,0.89,peele,1.5,0.5773502691896257
352,2144,The students' preferred writing utensil was a pencil,0.49,peele,1.5,0.5773502691896257
353,2181,The toddler covered the walls with her mother's lipstick,0.48,peele,4.5,0.5773502691896257
354,2182,"The toddler enjoyed feeding bread to the fat, white duck",0.5,peele,4.5,0.5773502691896257
355,2203,The tribe respected the girl because her father was chief,0.53,peele,1.5,0.5773502691896257
356,2218,The unstable beam struck the construction worker on the head,0.68,peele,4.5,0.5773502691896257
357,2250,The woman said every girl should carry mace,0.56,peele,1.6666666666666667,0.5773502691896257
358,2262,The woman wasn't sure when the baby was due,0.53,peele,1.5,0.5773502691896257
359,2281,The youth baseball team was ranked first in the league,0.36,peele,1.5,0.5773502691896257
360,2363,"To avoid hitting her head, she had to duck",0.85,peele,4.5,0.5773502691896257
361,2380,To enter the castle she rode across a bridge,0.4,peele,4.5,0.5773502691896257
362,2407,"To maximize profits, the companies decided to merge",0.37,peele,1.5,0.5773502691896257
363,2470,Wade spotted the incoming ball and was able to duck,0.36,peele,4.5,0.5773502691896257
364,2529,"When nervous, Julie would sometimes bite her nails",0.51,peele,1.5,0.5773502691896257
365,2533,When sailing one must be mindful of the wind,0.67,peele,1.6666666666666667,0.5773502691896257
366,159,Alexander placed the car key in the ignition,0.52,peele,4.333333333333333,0.5773502691896258
367,224,As Shelley walked up the mountain trail it became steep,0.67,block_baldwin,4.5,0.5773502691896258
368,300,Before placing each brick he applied a glob of cement,0.46,peele,4.666666666666667,0.5773502691896258
369,922,Jordan learned a lot about cars from his dad,0.45,peele,1.3333333333333333,0.5773502691896258
370,1131,"On the lawn, Patrick tripped where the dog had dug",0.31,peele,4.5,0.5773502691896258
371,2066,The rotten fruit had turned into a soft mush,0.7,peele,4.5,0.5773502691896258
372,2090,The ship's passengers panicked after damage to the hull,0.6,peele,4.5,0.5773502691896258
373,2128,The stench of the dumpster made the passerby gag,0.35,peele,4.5,0.5773502691896258
374,2137,The strong winds prevented Jillian from flying her kite,0.91,peele,4.666666666666667,0.5773502691896258
375,2206,The truck lost control and swerved into the ditch,0.69,block_baldwin,4.666666666666667,0.5773502691896258
376,724,His boss refused to give him a  raise,0.87,block_baldwin,1.8571428571428572,0.6900655593423541
377,755,I would drive but my car is low on gas,0.9,block_baldwin,1.8571428571428572,0.6900655593423541
378,146,"After waiting three hours, Cal whined and started to cry",0.5,peele,4.166666666666667,0.752772652709081
379,662,He lay down and went to sleep,0.76,block_baldwin,4.166666666666667,0.752772652709081
380,1275,She lived in sunny Florida and never saw falling snow,0.72,block_baldwin,1.8333333333333333,0.752772652709081
381,2362,To afford a new car Tim got a  loan,0.71,block_baldwin,1.8333333333333333,0.752772652709081
382,2036,The rain this year cause the farmer to have a poor crop,0.81,block_baldwin,1.7142857142857142,0.7559289460184544
383,314,Benny tried to make a keep a new resolution each year,0.9,block_baldwin,1.7142857142857142,0.7559289460184545
384,611,George must keep his pet on a  leash,0.9,block_baldwin,1.7142857142857142,0.7559289460184545
385,1958,The new officer was of a higher rank,0.81,block_baldwin,1.2857142857142858,0.7559289460184545
386,891,Jenny was creative and loved to study art,0.82,block_baldwin,1.5714285714285714,0.7867957924694431
387,571,For breakfast Jim wanted bacon and eggs,0.91,block_baldwin,1.4285714285714286,0.7867957924694432
388,663,He liked lemon and sugar in his tea,0.81,block_baldwin,1.4285714285714286,0.7867957924694432
389,681,He was afraid to work the night shift,0.9,block_baldwin,1.4285714285714286,0.7867957924694432
390,800,In the night sky it is easier to see all the stars,0.94,block_baldwin,1.4285714285714286,0.7867957924694432
391,998,Many commuters complain about the price of gas,0.88,block_baldwin,1.5714285714285714,0.7867957924694432
392,1266,She graduated at the top of her class,0.95,block_baldwin,1.5714285714285714,0.7867957924694432
393,1447,The bill was due at the end of the  month,0.76,block_baldwin,1.5714285714285714,0.7867957924694432
394,2022,The princess would someday become a queen,0.93,block_baldwin,1.4285714285714286,0.7867957924694432
395,136,"After the mother left, the baby began to loudly cry",0.75,peele,4.333333333333333,0.8164965809277259
396,1054,Molly stubbed her big toe and she began to cry,0.65,peele,4.333333333333333,0.8164965809277259
397,2537,When she lost her doll the girl began to cry,0.84,peele,4.333333333333333,0.8164965809277259
398,2561,"When the robber trapped Dorothy, she began to cry",0.37,peele,4.333333333333333,0.8164965809277259
399,148,After watching some baseball games she became a fan,0.8,peele,1.6666666666666667,0.816496580927726
