,full_sentence,last_word,answer,CoRT_descript,cloze_descript,block_num,cause_effect,dynamic_verb,orientation,negative,tense,spelling_modified,display,break,index,cloze_probability,dataset,CoRT_mean,CoRT_std,target_word,random_word,word_count,condition_name,sampled,hand,iti_dur,start_time,trial_dur,ShowProgressBar,iti_dur_ms,trial_dur_ms,randomise_blocks
24,"After|receiving|bad|news,|the|patient|began|to",steroids,FALSE,strong CoRT,high cloze,2,yes,yes,person,no,past,no,trial,,24,0.83,peele,4.166666667,0.9831920803,cry,steroids,8,easy,TRUE,right,0.5,90,7,1,500,7000,2
25,The|officer|barged|in|and|quickly|flashed|his,badge,TRUE,strong CoRT,high cloze,2,yes,yes,person,no,past,no,trial,,25,0.81,peele,4.75,0.5,badge,shook,8,easy,FALSE,right,0.5,105,7,1,500,7000,2
26,A|black|European|crow|is|sometimes|called|a,raven,TRUE,strong non-CoRT,low cloze,2,no,yes,animal,no,present,no,trial,,26,0.42,peele,1.5,1,raven,solution,8,hard,FALSE,right,0.5,457.5,7,1,500,7000,2
27,Frank|read|by|the|fireplace|while|his|grandmother,reach,FALSE,strong CoRT,low cloze,2,no,yes,person,no,present,no,trial,,27,0.4,peele,4.4,0.894427191,knitted,reach,8,hard,TRUE,right,0.5,120,7,1,500,7000,2
28,When|she|got|out|of|the|car|she|closed|the,door,TRUE,strong CoRT,high cloze,2,yes,yes,person,no,past,no,trial,,28,0.95,block_baldwin,4,1.414213562,door,steep,10,easy,FALSE,right,0.5,15,7,1,500,7000,2
29,The|child|looked|outside|and|watched|the|flying,cry,FALSE,strong CoRT,low cloze,2,yes,yes,person,no,past,no,trial,,29,0.4,peele,4,0.7071067812,birds,cry,8,hard,TRUE,right,0.5,187.5,7,1,500,7000,2
30,They|broke|into|the|store|and|began|to,steal,TRUE,strong CoRT,low cloze,2,yes,yes,group,no,past,no,trial,,30,0.42,peele,4.6,0.5477225575,steal,joke,8,hard,FALSE,right,0.5,142.5,7,1,500,7000,2
31,Larry's|motto|was|always|do|what|you,gone,FALSE,strong non-CoRT,low cloze,2,no,no,object,no,past,no,trial,,31,0.5,peele,1.25,0.5,want,gone,7,hard,TRUE,right,0.5,360,7,1,500,7000,2
32,The|dog|ran|inside|just|before|it|started|to,rain,TRUE,strong CoRT,high cloze,2,no,yes,animal,no,past,no,trial,,32,0.82,peele,4.2,0.8366600265,rain,bake,9,easy,FALSE,right,0.5,45,7,1,500,7000,2
33,Many|people|will|carry|important|items|in|a,bag,TRUE,strong non-CoRT,low cloze,2,no,yes,group,no,future,no,trial,,33,0.37,peele,1.5,1,bag,jar,8,hard,FALSE,right,0.5,412.5,7,1,500,7000,2
34,"Before|placing|each|brick,|he|applied|a|glob|of",cement,TRUE,strong CoRT,low cloze,2,yes,yes,person,no,past,yes,trial,,34,0.46,peele,4.666666667,0.5773502692,cement,garden,9,hard,FALSE,right,0.5,180,7,1,500,7000,2
35,"When|Jen|showed|the|treat,|Maggie's|tail|began|to",map,FALSE,strong CoRT,high cloze,2,yes,yes,animal,no,past,no,trial,,35,0.96,peele,4,0.8164965809,wag,map,9,easy,TRUE,right,0.5,37.5,7,1,500,7000,2
36,For|breakfast|Jim|wanted|bacon|and,eggs,TRUE,strong non-CoRT,high cloze,2,no,no,person,no,past,no,trial,,36,0.91,block_baldwin,1.428571429,0.7867957925,eggs,ball,6,easy,FALSE,right,0.5,315,7,1,500,7000,2
37,I|could|not|remember|his,name,TRUE,strong non-CoRT,high cloze,2,no,no,person,yes,past,no,trial,,37,0.92,block_baldwin,1,0,name,nurse,5,easy,FALSE,right,0.5,247.5,7,1,500,7000,2
38,The|new|officer|was|of|a|higher,pencils,FALSE,strong non-CoRT,high cloze,2,no,no,person,no,past,no,trial,,38,0.81,block_baldwin,1.285714286,0.755928946,rank,pencils,7,easy,TRUE,right,0.5,307.5,7,1,500,7000,2
39,There|was|not|room|for|the|triplets|in|the,car,TRUE,strong non-CoRT,low cloze,2,no,no,group,yes,past,no,trial,,39,0.34,peele,2,0.8164965809,car,train,9,hard,FALSE,right,0.5,435,7,1,500,7000,2
40,George|sprinted|out|the|door|because|he|was|in|a,bump,FALSE,strong CoRT,high cloze,2,yes,yes,person,no,past,no,trial,,40,0.87,peele,4,0.8164965809,hurry,bump,10,easy,TRUE,right,0.5,30,7,1,500,7000,2
41,"At|the|rock|concert,|the|music|was|extremely",loud,TRUE,strong non-CoRT,high cloze,2,no,no,object,no,past,no,trial,,41,0.98,peele,1.833333333,0.9831920803,loud,tear,8,easy,FALSE,right,0.5,285,7,1,500,7000,2
42,The|knight|prepared|for|battle|and|drew|his,sword,TRUE,strong CoRT,high cloze,2,yes,yes,person,no,past,yes,trial,,42,0.91,block_baldwin,4.142857143,1.463850109,sword,act,8,easy,FALSE,right,0.5,22.5,7,1,500,7000,2
43,Ollie|was|tired|of|the|radio|playing|the|same,songs,TRUE,strong non-CoRT,high cloze,2,no,yes,person,no,past,no,trial,,43,0.84,peele,1.75,0.9574271078,songs,peeve,9,easy,FALSE,right,0.5,292.5,7,1,500,7000,2
44,"An|almond|is|a|type|of|seed,|not|a",plan,FALSE,strong non-CoRT,high cloze,2,no,no,object,no,present,no,trial,,44,0.87,peele,1.5,1,nut,plan,9,easy,TRUE,right,0.5,277.5,7,1,500,7000,2
45,Helen|removed|the|paint|from|her|face|with|a,sin,FALSE,strong CoRT,low cloze,2,no,yes,person,no,past,no,trial,,45,0.33,peele,4.8,0.4472135955,cloth,sin,9,hard,TRUE,right,0.5,150,7,1,500,7000,2
46,His|brand|new|soccer|ball|landed|in|the,mud,TRUE,strong CoRT,low cloze,2,no,yes,object,no,past,yes,trial,,46,0.34,peele,4,1.732050808,mud,drip,8,hard,FALSE,right,0.5,195,7,1,500,7000,2
47,Quinn|was|surprised|that|Mariah|didn't|believe|in,god,TRUE,strong non-CoRT,low cloze,2,no,no,person,no,past,no,trial,,47,0.43,peele,1.8,0.8366600265,god,give,8,hard,FALSE,right,0.5,382.5,7,1,500,7000,2
48,Chocolate|is|made|from|the|roasted|cacao,bean,TRUE,strong non-CoRT,high cloze,2,no,yes,object,no,present,no,trial,,48,0.84,peele,1.8,0.4472135955,bean,decision,7,easy,FALSE,right,0.5,352.5,7,1,500,7000,2
49,The|princess|was|pulled|onto|the|horse|by|the,dead,FALSE,strong CoRT,low cloze,2,no,yes,person,no,past,no,trial,,49,0.37,peele,4.4,0.894427191,prince,dead,9,hard,TRUE,right,0.5,157.5,7,1,500,7000,2
50,The|heavy|box|had|both|a|large|volume|and,weight,TRUE,strong non-CoRT,low cloze,2,no,no,object,no,past,no,trial,,50,0.38,peele,1.6,1.341640786,weight,read,9,hard,FALSE,right,0.5,420,7,1,500,7000,2
51,Barb|pulled|her|sleeve|back|to|reveal|a|big,bruise,TRUE,strong CoRT,low cloze,2,yes,yes,person,no,past,no,trial,,51,0.39,peele,4.5,0.5773502692,bruise,dress,9,hard,FALSE,right,0.5,232.5,7,1,500,7000,2
52,It|is|painful|to|have|diseases|like,cancer,TRUE,strong non-CoRT,low cloze,2,no,no,object,no,present,no,trial,,52,0.36,peele,1,0,cancer,car,7,hard,FALSE,right,0.5,367.5,7,1,500,7000,2
53,Chris|said|his|dog|had|always|been|his|best,friend,TRUE,strong non-CoRT,high cloze,2,no,yes,person,no,past,no,trial,,53,0.95,peele,1.75,1.5,friend,dosage,9,easy,FALSE,right,0.5,255,7,1,500,7000,2
54,Her|left|hand|was|freezing|after|she|lost|her,glove,TRUE,strong CoRT,high cloze,2,yes,yes,person,no,past,no,trial,,54,0.8,peele,4.4,0.5477225575,glove,ropes,9,easy,FALSE,right,0.5,52.5,7,1,500,7000,2
55,The|boy|won|the|chess|competition|by|using|his,brain,TRUE,strong non-CoRT,low cloze,2,no,yes,person,no,past,no,trial,,55,0.36,peele,1.75,0.9574271078,brain,fence,9,hard,FALSE,right,0.5,472.5,7,1,500,7000,2
56,Father|carved|the|turkey|with|a,knife,TRUE,strong CoRT,high cloze,2,yes,no,person,no,past,no,trial,,56,0.95,block_baldwin,4.285714286,1.496026483,knife,teach,6,easy,FALSE,right,0.5,82.5,7,1,500,7000,2
57,Abby|stuck|his|picture|to|her|wall|with|a,tack,TRUE,strong CoRT,low cloze,2,no,yes,person,no,past,no,trial,,57,0.46,peele,4.333333333,0.5773502692,tack,lab,9,hard,FALSE,right,0.5,135,7,1,500,7000,2
58,American|Presidents|are|limited|to|serving|a|period|of|eight,years,TRUE,strong non-CoRT,high cloze,2,no,yes,group,no,present,no,trial,,58,0.84,block_baldwin,1.142857143,0.377964473,years,rub,10,easy,FALSE,right,0.5,322.5,7,1,500,7000,2
59,"Everyday|during|recess,|the|children|would|play",tag,TRUE,strong CoRT,low cloze,2,no,yes,group,no,past,no,trial,,59,0.41,peele,4,1.224744871,tag,over,7,hard,FALSE,right,0.5,165,7,1,500,7000,2
60,The|bride|smiled|as|she|walked|down|the,aisle,TRUE,strong CoRT,high cloze,2,no,yes,group,no,past,no,trial,,60,0.88,block_baldwin,4.285714286,1.112697281,aisle,bread,8,easy,FALSE,right,0.5,60,7,1,500,7000,2
61,George|must|keep|his|pet|on|a,leash,TRUE,strong non-CoRT,high cloze,2,no,yes,person,no,present,no,trial,,61,0.9,block_baldwin,1.714285714,0.755928946,leash,league,7,easy,FALSE,right,0.5,337.5,7,1,500,7000,2
62,The|kitten|played|with|the|ball|of,yarn,TRUE,strong CoRT,high cloze,2,no,yes,animal,no,past,no,trial,,62,0.94,block_baldwin,4,1.527525232,yarn,joke,7,easy,FALSE,right,0.5,112.5,7,1,500,7000,2
63,None|of|his|books|made|any,sense,TRUE,strong non-CoRT,high cloze,2,no,no,object,yes,past,no,trial,,63,0.87,block_baldwin,1.571428571,1.511857892,sense,lie,6,easy,FALSE,right,0.5,300,7,1,500,7000,2
64,,,,,,,,,,,,,break,# Well done! You got $${percent_correct}% correct!,,,,,,,,,,,,,,,,,,
0,Bradley|prefers|cats|over,catch,FALSE,strong non-CoRT,high cloze,3,no,no,person,no,present,no,trial,,0,0.91,block_baldwin,1.142857143,0.377964473,dogs,catch,4,easy,TRUE,right,0.5,270,7,1,500,7000,3
1,"After|receiving|a|treat,|the|dog's|tail|began|to",work,FALSE,strong CoRT,high cloze,3,yes,yes,animal,no,past,no,trial,,1,0.98,peele,4.25,0.5,wag,work,9,easy,TRUE,right,0.5,0,7,1,500,7000,3
2,One|must|take|time|out|of|every|day|to,relax,TRUE,strong non-CoRT,low cloze,3,no,no,person,no,present,no,trial,,2,0.36,peele,1,0,relax,screen,9,hard,FALSE,right,0.5,375,7,1,500,7000,3
3,For|a|small|horse|she|has|a|very|long,tail,TRUE,strong non-CoRT,low cloze,3,no,no,animal,no,present,no,trial,,3,0.47,peele,1.8,1.303840481,tail,toy,9,hard,FALSE,right,0.5,442.5,7,1,500,7000,3
4,He|used|his|skateboard|to|grind|along|the,rails,TRUE,strong CoRT,low cloze,3,no,yes,person,no,past,no,trial,,4,0.38,peele,4.5,0.5773502692,rails,kill,8,hard,FALSE,right,0.5,172.5,7,1,500,7000,3
5,Some|clothing|types|don't|last|long|because|they|easily,eat,FALSE,strong non-CoRT,low cloze,3,yes,no,object,yes,present,no,trial,,5,0.44,peele,2,1.224744871,tear,eat,9,hard,TRUE,right,0.5,390,7,1,500,7000,3
6,Her|new|shoes|were|the|wrong,size,TRUE,strong non-CoRT,high cloze,3,no,no,object,no,past,no,trial,,6,0.91,block_baldwin,1.428571429,1.133893419,size,manure,6,easy,FALSE,right,0.5,262.5,7,1,500,7000,3
7,The|screaming|little|girl|made|the|sitter|very,loose,FALSE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,7,0.33,peele,4.2,0.8366600265,nervous,loose,8,hard,TRUE,right,0.5,210,7,1,500,7000,3
8,It|seemed|like|the|girl|was|always|running,argue,FALSE,strong non-CoRT,low cloze,3,no,yes,person,no,past,no,trial,,8,0.41,peele,1.75,0.9574271078,late,argue,8,hard,TRUE,right,0.5,397.5,7,1,500,7000,3
9,He|had|a|long|day|and|was|in|a|bad,lure,FALSE,strong non-CoRT,high cloze,3,yes,no,person,no,past,no,trial,,9,0.95,block_baldwin,1.857142857,1.573591585,mood,lure,10,easy,TRUE,right,0.5,240,7,1,500,7000,3
10,The|box|landed|on|the|ground|with|a|dull,thud,TRUE,strong CoRT,high cloze,3,no,yes,object,no,past,no,trial,,10,0.85,peele,4.25,0.9574271078,thud,net,9,easy,FALSE,right,0.5,7.5,7,1,500,7000,3
11,The|crowd|became|rowdy|after|drinking|too|much|sweet,wine,TRUE,strong CoRT,low cloze,3,yes,yes,group,no,past,no,trial,,11,0.32,peele,4.6,0.5477225575,wine,bug,9,hard,FALSE,right,0.5,225,7,1,500,7000,3
12,Drivers|should|keep|your|eyes|on|the,road,TRUE,strong non-CoRT,high cloze,3,no,no,group,no,present,yes,trial,,12,0.92,block_baldwin,1.857142857,0.8997354108,road,work,7,easy,FALSE,right,0.5,345,7,1,500,7000,3
13,"Distracted|while|driving,|Maya|got|stuck|in|the|sticky",mud,TRUE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,13,0.46,peele,4,1.224744871,mud,sunset,9,hard,FALSE,right,0.5,202.5,7,1,500,7000,3
14,"While|cooking,|Luke|accidentally|cut|himself|with|a",flavor,FALSE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,14,0.96,peele,4.2,0.8366600265,knife,flavor,8,easy,TRUE,right,0.5,67.5,7,1,500,7000,3
15,He|climbed|a|ladder|in|order|to|reshingle|the,roof,TRUE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,15,0.86,block_baldwin,4.142857143,1.463850109,roof,kick,9,easy,FALSE,right,0.5,75,7,1,500,7000,3
16,"After|raking|the|yard,|Pat|jumped|into|the|pile|of",leaves,TRUE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,16,0.92,block_baldwin,4.571428571,0.7867957925,leaves,tag,10,easy,FALSE,right,0.5,97.5,7,1,500,7000,3
17,Bob|planned|to|reopen|the|restaurant|in|the,eaten,FALSE,strong non-CoRT,low cloze,3,no,yes,person,no,past,no,trial,,17,0.38,peele,2,1.224744871,fall,eaten,8,hard,TRUE,right,0.5,450,7,1,500,7000,3
18,Andy|reached|the|curb|and|told|the|dog|to,sit,TRUE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,18,0.42,peele,4,1.414213562,sit,cloth,9,hard,FALSE,right,0.5,217.5,7,1,500,7000,3
19,Mary|agreed|that|a|popsicle|would|be|the|right,treat,TRUE,strong non-CoRT,low cloze,3,no,yes,person,no,past,no,trial,,19,0.41,peele,2,1,treat,complex,9,hard,FALSE,right,0.5,405,7,1,500,7000,3
20,The|evil|witch|eyed|the|young|princess|with|a,glare,TRUE,strong CoRT,low cloze,3,no,yes,person,no,past,no,trial,,20,0.31,peele,4.4,0.894427191,glare,udder,9,hard,FALSE,right,0.5,127.5,7,1,500,7000,3
21,"To|relax|herself,|she|liked|to|listen|to|smooth",jazz,TRUE,strong non-CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,21,0.47,block_baldwin,1.833333333,0.4082482905,jazz,cake,9,hard,FALSE,right,0.5,465,7,1,500,7000,3
22,"To|prevent|football|injury,|all|players|must|wear|shoulder",cry,FALSE,strong non-CoRT,high cloze,3,yes,yes,group,no,present,no,trial,,22,0.96,block_baldwin,1.571428571,0.9759000729,pads,cry,9,easy,TRUE,right,0.5,330,7,1,500,7000,3
23,To|cook|a|meal|you|will|surely|need|a,skin,FALSE,strong non-CoRT,low cloze,3,no,yes,person,no,future,no,trial,,23,0.44,peele,1.75,0.9574271078,stove,skin,9,hard,TRUE,right,0.5,427.5,7,1,500,7000,3
24,The|cop|entered|the|building|and|showed|his,fin,FALSE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,24,0.92,peele,4.25,0.5,badge,fin,8,easy,TRUE,right,0.5,90,7,1,500,7000,3
25,"During|the|hike,|Lila's|feet|hurt|more|with|each",step,TRUE,strong CoRT,high cloze,3,no,yes,person,no,past,no,trial,,25,0.98,peele,4,1,step,rash,9,easy,FALSE,right,0.5,105,7,1,500,7000,3
26,The|villagers|lived|their|lives|as|simple,people,TRUE,strong non-CoRT,low cloze,3,no,yes,group,no,past,no,trial,,26,0.4,peele,2,1,people,kale,7,hard,FALSE,right,0.5,457.5,7,1,500,7000,3
27,"Angry|at|the|late|employee,|Brandon|began|to",lawn,FALSE,strong CoRT,low cloze,3,yes,no,person,no,past,no,trial,,27,0.5,peele,4.166666667,1.329160136,yell,lawn,8,hard,TRUE,right,0.5,120,7,1,500,7000,3
28,"At|the|show,|all|the|animals|jumped|through|a",hoop,TRUE,strong CoRT,high cloze,3,no,yes,animal,no,past,no,trial,,28,0.94,peele,4.2,0.8366600265,hoop,ten,9,easy,FALSE,right,0.5,15,7,1,500,7000,3
29,The|beautiful|woman|in|the|story|turned|into|a,womb,FALSE,strong CoRT,low cloze,3,no,yes,person,no,past,no,trial,,29,0.44,peele,4,1.264911064,witch,womb,9,hard,TRUE,right,0.5,187.5,7,1,500,7000,3
30,Greta|quickly|woke|after|Jess|gave|her|a|painful,pinch,TRUE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,30,0.39,peele,4.5,0.5773502692,pinch,art,9,hard,FALSE,right,0.5,142.5,7,1,500,7000,3
31,"Out|of|habit,|the|family|always|ate|dinner|at",wrong,FALSE,strong non-CoRT,low cloze,3,no,yes,group,no,past,no,trial,,31,0.43,peele,2,1.414213562,six,wrong,9,hard,TRUE,right,0.5,360,7,1,500,7000,3
32,The|toddler|jumped|but|the|jar|was|out|of,reach,TRUE,strong CoRT,high cloze,3,no,yes,person,no,past,no,trial,,32,0.82,peele,4.6,0.5477225575,reach,pet,9,easy,FALSE,right,0.5,45,7,1,500,7000,3
33,A|large|stone|blocked|the|entrance|to|the,cave,TRUE,strong non-CoRT,low cloze,3,no,yes,object,no,past,no,trial,,33,0.36,block_baldwin,1.666666667,1.032795559,cave,back,8,hard,FALSE,right,0.5,412.5,7,1,500,7000,3
34,"As|Jill|felt|the|sharp|pain,|she|began|to",cry,TRUE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,34,0.46,peele,4.6,0.5477225575,cry,hair,9,hard,FALSE,right,0.5,180,7,1,500,7000,3
35,He|turned|the|page|of|his|favorite,ghost,FALSE,strong CoRT,high cloze,3,no,yes,person,no,past,no,trial,,35,0.9,block_baldwin,4,1.527525232,book,ghost,7,easy,TRUE,right,0.5,37.5,7,1,500,7000,3
36,He|knew|about|the|prank|they|were|trying|to,pull,TRUE,strong non-CoRT,high cloze,3,no,no,person,no,past,no,trial,,36,0.8,peele,1.4,0.5477225575,pull,cry,9,easy,FALSE,right,0.5,315,7,1,500,7000,3
37,Jenny|was|creative|and|loved|to|study,art,TRUE,strong non-CoRT,high cloze,3,no,yes,person,no,past,no,trial,,37,0.82,block_baldwin,1.571428571,0.7867957925,art,drink,7,easy,FALSE,right,0.5,247.5,7,1,500,7000,3
38,The|landlord|did|not|like|when|the|rent|was,pin,FALSE,strong non-CoRT,high cloze,3,no,no,person,yes,past,no,trial,,38,0.8,block_baldwin,2,1.414213562,late,pin,9,easy,TRUE,right,0.5,307.5,7,1,500,7000,3
39,An|ulcer|on|the|skin|is|a|painful,sore,TRUE,strong non-CoRT,low cloze,3,no,no,object,no,present,no,trial,,39,0.41,peele,1.8,1.095445115,sore,fell,8,hard,FALSE,right,0.5,435,7,1,500,7000,3
40,"While|his|parents|vacationed,|the|kid|threw|a|huge",fur,FALSE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,40,0.84,peele,4,0.8164965809,party,fur,9,easy,TRUE,right,0.5,30,7,1,500,7000,3
41,Eric|was|worried|that|his|car|didn't|have|enough,gas,TRUE,strong non-CoRT,high cloze,3,no,no,person,no,past,no,trial,,41,0.86,peele,1.6,0.894427191,gas,joke,9,easy,FALSE,right,0.5,285,7,1,500,7000,3
42,The|little|girl|tripped|and|immediately|began|to,cry,TRUE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,42,0.9,peele,4.5,0.8366600265,cry,play,8,easy,FALSE,right,0.5,22.5,7,1,500,7000,3
43,Claire|claimed|motherhood|was|the|hardest|job|she|ever,had,TRUE,strong non-CoRT,high cloze,3,no,no,person,no,past,no,trial,,43,0.82,peele,1.6,0.894427191,had,mouse,9,easy,FALSE,right,0.5,292.5,7,1,500,7000,3
44,The|candles|smelled|even|better|when|they|were,wine,FALSE,strong non-CoRT,high cloze,3,no,yes,object,no,past,no,trial,,44,0.87,block_baldwin,1.714285714,0.4879500365,lit,wine,8,easy,TRUE,right,0.5,277.5,7,1,500,7000,3
45,Jan|dropped|the|lightbulb|and|it|cracked|near|the,down,FALSE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,45,0.47,peele,4,0,base,down,9,hard,TRUE,right,0.5,150,7,1,500,7000,3
46,"Before|leaving|for|the|party,|Kim|dabbed|on|some",perfume,TRUE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,46,0.49,peele,4.2,0.8366600265,perfume,duck,9,hard,FALSE,right,0.5,195,7,1,500,7000,3
47,There|was|nothing|to|do|once|the|fuse|was,lit,TRUE,strong non-CoRT,low cloze,3,no,no,object,no,past,no,trial,,47,0.39,peele,1.8,1.095445115,lit,meat,9,hard,FALSE,right,0.5,382.5,7,1,500,7000,3
48,At|last|the|time|for|action|had,come,TRUE,strong non-CoRT,high cloze,3,no,no,object,no,past,no,trial,,48,0.84,block_baldwin,2,1.154700538,come,mean,7,easy,FALSE,right,0.5,352.5,7,1,500,7000,3
49,"While|preparing|the|meal,|the|chef|couldn't|find|his",swim,FALSE,strong CoRT,low cloze,3,no,yes,person,yes,past,no,trial,,49,0.41,peele,4,0.7071067812,knife,swim,9,hard,TRUE,right,0.5,157.5,7,1,500,7000,3
50,She|adores|rain|but|doesn't|at|all|like,snow,TRUE,strong non-CoRT,low cloze,3,no,no,person,yes,present,no,trial,,50,0.42,peele,1.75,0.5,snow,light,8,hard,FALSE,right,0.5,420,7,1,500,7000,3
51,The|tranquil|park|atmosphere|was|disturbed|by|the|honking,horn,TRUE,strong CoRT,low cloze,3,no,yes,object,no,past,no,trial,,51,0.36,peele,4.5,1,horn,teach,9,hard,FALSE,right,0.5,232.5,7,1,500,7000,3
52,The|dessert|was|so|good|it|was|hard|to,resist,TRUE,strong non-CoRT,low cloze,3,no,no,object,no,past,no,trial,,52,0.41,peele,2,0.7071067812,resist,gap,9,hard,FALSE,right,0.5,367.5,7,1,500,7000,3
53,Charles|knew|that|the|woman|was|out|of|his,league,TRUE,strong non-CoRT,high cloze,3,no,no,person,no,past,no,trial,,53,0.82,peele,1.25,0.5,league,expensive,9,easy,FALSE,right,0.5,255,7,1,500,7000,3
54,I|roasted|the|marshmallow|over|the,fire,TRUE,strong CoRT,high cloze,3,no,yes,person,no,past,no,trial,,54,0.89,block_baldwin,4.142857143,1.463850109,fire,wrath,6,easy,FALSE,right,0.5,52.5,7,1,500,7000,3
55,His|worst|fear|was|that|the|spectators|would,boo,TRUE,strong non-CoRT,low cloze,3,no,no,person,no,past,no,trial,,55,0.36,peele,1.2,0.4472135955,boo,coat,8,hard,FALSE,right,0.5,472.5,7,1,500,7000,3
56,"After|swallowing|too|quickly,|Simon|began|to",choke,TRUE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,56,0.82,peele,4,1.224744871,choke,wit,7,easy,FALSE,right,0.5,82.5,7,1,500,7000,3
57,"After|returning|to|his|bedroom,|the|monk|removed|his",robe,TRUE,strong CoRT,low cloze,3,yes,yes,person,no,past,no,trial,,57,0.5,peele,4.8,0.4472135955,robe,signs,9,hard,FALSE,right,0.5,135,7,1,500,7000,3
58,Their|water|source|on|the|farm|was|the|old,well,TRUE,strong non-CoRT,high cloze,3,no,no,object,no,past,no,trial,,58,0.89,peele,1.2,0.4472135955,well,lock,9,easy,FALSE,right,0.5,322.5,7,1,500,7000,3
59,Karen|realized|she|had|stepped|in|a|pile|of,poop,TRUE,strong CoRT,low cloze,3,no,yes,person,no,past,no,trial,,59,0.49,peele,4.6,0.5477225575,poop,wine,9,hard,FALSE,right,0.5,165,7,1,500,7000,3
60,The|accountant|ironed|a|shirt|before|going|to,work,TRUE,strong CoRT,high cloze,3,yes,yes,person,no,past,no,trial,,60,0.9,block_baldwin,4,1.414213562,work,lies,8,easy,FALSE,right,0.5,60,7,1,500,7000,3
61,The|lecture|should|last|about|one,hour,TRUE,strong non-CoRT,high cloze,3,no,no,object,no,future,no,trial,,61,0.91,block_baldwin,1,0,hour,crust,6,easy,FALSE,right,0.5,337.5,7,1,500,7000,3
62,Katie|put|the|flowers|in|an|expensive,vase,TRUE,strong CoRT,high cloze,3,no,yes,person,no,past,no,trial,,62,0.93,block_baldwin,4,1.414213562,vase,win,7,easy,FALSE,right,0.5,112.5,7,1,500,7000,3
63,The|fluffy|white|clouds|are|high|up|in|the,sky,TRUE,strong non-CoRT,high cloze,3,no,no,object,no,present,no,trial,,63,0.93,block_baldwin,1.571428571,1.133893419,sky,moose,9,easy,FALSE,right,0.5,300,7,1,500,7000,3
64,,,,,,,,,,,,,break,# Well done! You got $${percent_correct}% correct!,,,,,,,,,,,,,,,,,,
0,"Married|to|a|duchess,|Max|earned|the|title|of",pack,FALSE,strong non-CoRT,high cloze,4,yes,yes,person,no,past,no,trial,,0,0.88,peele,1.6,0.5477225575,duke,pack,9,easy,TRUE,right,0.5,270,7,1,500,7000,4
1,He|turned|to|see|the|dog|charging|like|a,pad,FALSE,strong CoRT,high cloze,4,no,yes,person,no,past,no,trial,,1,0.83,peele,4.4,0.5477225575,bull,pad,9,easy,TRUE,right,0.5,0,7,1,500,7000,4
2,The|car|was|similar|but|it|was|a|different,model,TRUE,strong non-CoRT,low cloze,4,no,no,object,no,past,no,trial,,2,0.4,peele,1.4,0.894427191,model,sails,9,hard,FALSE,right,0.5,375,7,1,500,7000,4
3,"Even|in|the|most|trying|times,|she|kept|her",cool,TRUE,strong non-CoRT,low cloze,4,no,no,person,no,past,yes,trial,,3,0.5,peele,2,1.224744871,cool,hair,9,hard,FALSE,right,0.5,442.5,7,1,500,7000,4
4,The|boat|sailed|faster|after|tightly|pulling|in|the,sail,TRUE,strong CoRT,low cloze,4,yes,yes,object,no,past,no,trial,,4,0.5,peele,4.75,0.5,sail,fall,9,hard,FALSE,right,0.5,172.5,7,1,500,7000,4
5,The|woman|said|she|had|finally|found,tip,FALSE,strong non-CoRT,low cloze,4,no,yes,person,no,past,no,trial,,5,0.36,peele,2,0.7071067812,love,tip,7,hard,TRUE,right,0.5,390,7,1,500,7000,4
6,Kelly|believed|that|everything|was|determined|by,fate,TRUE,strong non-CoRT,high cloze,4,no,no,person,no,past,no,trial,,6,0.83,peele,1.75,0.9574271078,fate,joke,7,easy,FALSE,right,0.5,262.5,7,1,500,7000,4
7,The|rowdy|player|was|ejected|after|a|nasty,village,FALSE,strong CoRT,low cloze,4,yes,yes,person,no,past,no,trial,,7,0.46,peele,4,0,fight,village,8,hard,TRUE,right,0.5,210,7,1,500,7000,4
8,Alexis|was|embarrassed|by|her|child's|behavior|in,cool,FALSE,strong non-CoRT,low cloze,4,no,no,person,no,past,no,trial,,8,0.36,peele,1.6,0.894427191,school,cool,8,hard,TRUE,right,0.5,397.5,7,1,500,7000,4
9,Success|is|often|just|a|matter|of|hard,fake,FALSE,strong non-CoRT,high cloze,4,no,no,object,no,present,yes,trial,,9,0.93,block_baldwin,1.428571429,1.133893419,work,fake,8,easy,TRUE,right,0.5,240,7,1,500,7000,4
